gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
TMEM158	3.5561008439911683	7.755925792856233	26.716326866475608	5.589750076336965e-17	4.6638552649456397e-14	29.10456034641932
ESM1	6.457394325623399	2.981498715647663	24.101119323541674	4.0382269102724533e-16	2.492797471711185e-13	26.792677569529644
GNG11	2.3438275466989564	7.193090995400041	22.344371918789438	1.7126080942375357e-15	6.820599848856973e-13	25.70423662750148
ECI2	3.193079564074832	4.755873790279067	21.751311775666725	2.856775202293033e-15	1.0687802014396906e-12	25.195882872500142
NIPAL3	2.0880916146697572	6.854206596904985	20.85085760258751	6.370923862819134e-15	1.829195953729419e-12	24.384061023870704
CYP3A7	6.595925785000195	-0.5099513946813433	20.774760621269948	6.8276240438158105e-15	1.8731965876655555e-12	19.85685836750281
CORO2B	1.9072757231479995	5.638936268803784	19.841068412740455	1.6278789457284442e-14	3.721813604437661e-12	23.45138701047966
C3ORF18	2.1066300112819123	5.290987694808151	19.808639564595694	1.6788696301865733e-14	3.7686044462333516e-12	23.426078121264325
FAM214B	1.5844876403974144	5.407930631289292	19.748478400263043	1.7779504008875672e-14	3.919745651671055e-12	23.36654006246241
SMTN	1.6015064549921894	6.6955076258410875	19.704859702085308	1.8536083059653123e-14	4.014850551832937e-12	23.30648877622434
SMG9	1.6798145908005688	5.845037702269691	19.039189606198722	3.538498303285569e-14	6.825984383181819e-12	22.66409217036083
PFN2	1.8298954988361844	6.84772025208697	18.97053925961223	3.7868703215411534e-14	7.142853613607149e-12	22.582601681744322
RRM2B	2.033757181605387	7.542909921127086	18.962145056172393	3.81847026160758e-14	7.142853613607149e-12	22.57492533455602
ARHGAP22	2.509949871263646	6.837850446962368	18.396201160358086	6.738850955693206e-14	1.1310721299303151e-11	21.99791900382736
APOBEC3C	1.2499395632071675	7.257580741534623	18.352330319626294	7.04680669237473e-14	1.1593409987141154e-11	21.952150021085956
PNP	1.65153884706397	4.585436603941682	18.33990002142395	7.136717633425625e-14	1.1593409987141154e-11	21.987774421488126
GPAT4	0.8423692161562357	7.251530442415361	18.302842084441238	7.411969429210402e-14	1.1884178515978134e-11	21.900827021957497
CYLD	2.0605889563220927	7.086400851219098	18.22528776276138	8.024634338102727e-14	1.2540776650407123e-11	21.820056443328482
SDPR	3.776964001452508	2.772968714542066	17.94590306895222	1.0709637548006165e-13	1.5374556414846988e-11	21.501748037846788
PGPEP1	1.118057173654793	6.320540845219517	17.880921813497874	1.1459837890389327e-13	1.6081289352011513e-11	21.463210311581467
SRXN1	1.3555211814558037	6.7043684535544195	17.731615165184575	1.3399867610546636e-13	1.8116502132007755e-11	21.300005831838487
SMAGP	1.8786323989871416	4.6825553727534635	17.703103185024716	1.3807936768954627e-13	1.8330407241883207e-11	21.321589514657134
VANGL1	1.8315507748125088	4.608168343934131	17.63070667766602	1.4903679652363528e-13	1.9368508314534748e-11	21.24725185356051
ADK	1.361078370035064	5.574614331787985	17.541850028876613	1.637434530685294e-13	2.08409966142687e-11	21.11997184471914
KDM3B	1.6428389201345128	5.744604211141495	17.241498360686016	2.25778283030147e-13	2.7062705653302862e-11	20.788668617008742
E2F7	3.4945625609768576	4.602277656011089	17.120293302014275	2.573900599196957e-13	3.026416837874822e-11	20.697109619597217
ABLIM3	1.7646444342844791	6.7391813489872385	17.066147860962335	2.729791183405147e-13	3.179434146256599e-11	20.575328843950302
PLAUR	1.2179386882971173	5.490147913792474	16.945151551830623	3.1149822513531297e-13	3.46464602479331e-11	20.47001047202317
NUDCD3	1.211387067038535	7.049356301553051	16.72636194017324	3.9630754983435305e-13	4.181891461756344e-11	20.19416190453027
SRD5A1	1.6423761858362944	5.255919639999143	16.578510406385238	4.670699092486837e-13	4.8868178810036005e-11	20.066971464075174
GADD45A	1.722666296262509	5.630626291086745	16.56647969410108	4.73382313595448e-13	4.911242053486892e-11	20.039799149862358
CDH4	1.8968838160029997	3.9192535133639206	16.4420880343822	5.44139359165937e-13	5.374355622610127e-11	19.97006947791222
MRPL49	1.1627333900746475	6.056885086336035	16.29790058770613	6.402306531658641e-13	6.080221264604429e-11	19.717883921087587
ITGA2	3.784281562595447	5.747931435595383	16.276308464863416	6.560840491644377e-13	6.122053244356396e-11	19.703360320137612
TXNL4B	1.7969066632324773	4.204900549403514	16.16445056707809	7.450552311712146e-13	6.617591283481881e-11	19.643137653111594
PLEKHB2	1.0821072896464532	7.683818516239632	16.039062706232507	8.599885840051755e-13	7.356230123050247e-11	19.40649775033677
SERPINB2	4.461898537404402	4.575473665274946	15.971170110036628	9.298307756221749e-13	7.718844040135944e-11	19.4008817456413
SHC1	1.3614427327191772	8.409765546606431	15.962903098417147	9.38732058965174e-13	7.726390666656026e-11	19.330266935718775
TLDC1	1.460945100011923	5.37873622418639	15.933176379150172	9.714836770972774e-13	7.932595978530691e-11	19.31757487929136
NTNG1	3.7017040995691106	3.116659655582986	15.923938944707777	9.819029950697527e-13	7.932595978530691e-11	19.386571083726558
