gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PID1	1.5065777199603207	6.095680635891412	5.655242683871767	3.280347762426149e-06	0.023508612239426997	4.505543698898926
ARRDC4	0.9390565551982135	7.675157992762043	5.235050501633973	1.0940137636348718e-05	0.02873929535120876	3.3756052584728806
GSDMA	3.435319237156885	1.984683692544743	5.187949941629602	1.2522934230090635e-05	0.02873929535120876	3.0455003075563507
ZDHHC2	0.6715753755622842	5.174625721665598	5.100705806998415	1.6083749880051122e-05	0.02873929535120876	3.0138121883582736
MTHFD2L	0.6170451260294469	3.2874860448467524	5.040630790214893	1.910724462086063e-05	0.02873929535120876	2.8396870830636365
GRB10	1.1705757159018981	3.3500364107912155	4.940872344089366	2.54302802756879e-05	0.02873929535120876	2.582391769103074
PEAK1	0.8879224195397759	7.077555230308789	4.883719319817001	2.9951814359278262e-05	0.02873929535120876	2.4366530382497977
NT5E	1.7417502756748144	1.29495872119989	4.8453977835718485	3.342323848830467e-05	0.02873929535120876	2.065527621209548
TRIM36	0.999114128477518	5.508511905504835	4.833051579746817	3.462475457847836e-05	0.02873929535120876	2.292980729334767
CASC4	0.34010054749511376	5.995680743444734	4.823946211386738	3.553831664395065e-05	0.02873929535120876	2.268862561539912
MAP3K1	0.5754233284345265	5.837858445963231	4.820269243274152	3.59139951146084e-05	0.02873929535120876	2.2585392989293815
MMP2	1.0839026220614478	4.5181661562691895	4.806723932934682	3.733232178255102e-05	0.02873929535120876	2.2317435479963965
VNN3	1.3321916996021126	0.14755479813654754	4.795565422221465	3.854246546955674e-05	0.02873929535120876	1.624779139730224
RUNX1	0.7902055344410837	6.859936599851944	4.7847504320882885	3.975255401238228e-05	0.02873929535120876	2.170425314045705
HMGA2	1.4135654481770712	-0.5402424931539203	4.73407267582851	4.59453717282624e-05	0.02873929535120876	1.2492323279654238
KITLG	1.5275581467511286	3.855681134199977	4.726837955914057	4.690436071127739e-05	0.02873929535120876	2.0275560199480145
RC3H1	0.43992511737330275	6.187916501910249	4.718862516613389	4.798458588337647e-05	0.02873929535120876	1.988333803682532
ELL	0.6031111001893263	4.806996731070444	4.622753203835145	6.311540811558596e-05	0.02873929535120876	1.7371019757313801
BNC2	2.091248175791956	0.8422613031223485	4.6051391696588	6.6362487783703e-05	0.02873929535120876	1.4006568925183656
G3BP1	0.5403419410608645	8.503786908005079	4.597938483600789	6.773711145850855e-05	0.02873929535120876	1.6896607602458076
CLIP2	1.0921533555142684	5.4487207512296845	4.596069480514218	6.809849745375404e-05	0.02873929535120876	1.6589425798582331
APP	0.34784982775414797	8.732384856747569	4.55957888709823	7.55497105130033e-05	0.02873929535120876	1.5903507821264347
CXCL2	1.185258262295796	6.507891619396177	4.545961149665739	7.853270784646426e-05	0.02873929535120876	1.5301017989123782
