gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
AL109923.1	9.707321532845032	0.7873721202508276	25.931501991523255	1.875859724041799e-07	0.0026374587720027695	4.345851498683191
SLC2A3P1	8.077680478144721	-0.33161429627556493	15.663811663286342	3.848291790442061e-06	0.011086720524885898	2.5168011256154266
RP11-438J1.1	7.82105392093779	-0.45352991531340975	15.639818839762402	3.883527450400881e-06	0.011086720524885898	2.393537093294796
SRGAP2D	7.932494147145667	-0.39168959334973547	15.199024532230581	4.602593675316768e-06	0.011086720524885898	2.406459586093649
RP5-1022E24.6	7.538383671719625	-0.6407856225867743	15.090841887696278	4.801995296459937e-06	0.011086720524885898	2.1514686730509345
AP000295.9	7.523987382150123	-0.6537365475945138	14.663557126519496	5.694082011354823e-06	0.011086720524885898	2.092543192803374
RP11-717K11.2	8.43882134075177	-0.10439600659343602	14.255174624283594	6.731256806783794e-06	0.011086720524885898	2.552771380972816
RIMBP3C	4.045638722909163	5.687907931530249	13.939908176207389	7.683574737990211e-06	0.011086720524885898	4.490243870102782
CTD-2331H12.8	7.264127942313184	-0.8272266699845633	13.705015008911559	8.495440299719386e-06	0.011086720524885898	1.8164473252077702
RP11-529K1.3	8.10661192887378	-0.3260314503810982	13.65689025373336	8.673821178786975e-06	0.011086720524885898	2.266614326765236
INO80B-WBP1	6.914786425734517	-1.0758156307009954	11.88680381483099	1.962544836995067e-05	0.02299448367345887	1.3440335041863642
PWP2	8.551193594992302	0.089114468271276	9.296867122707921	8.152223103854394e-05	0.07429889368337644	1.5045770588239087
BZW1P2	1.8429863195607679	3.7686172307130703	9.237798034423744	8.455066137510833e-05	0.07429889368337644	2.2182790804109587
AL133244.1	6.145726940673047	-1.5887080981144082	8.846588516126243	0.00010822884868568683	0.08951162426592686	0.34936543590289837
RWDD4P2	5.422591621222518	-2.070421744289848	8.127765140704144	0.00017483034615348126	0.12937445615357612	-0.14481474064681876
